Date,sea_ice_extent,sea_ice_extent_next_month,sea_ice_extent_in_2months,sea_ice_extent_in_3months,sea_ice_extent_in_4months,sea_ice_extent_in_5months,sea_ice_extent_in_6months
1979-01,15604191,16378929,16521089,15561238,14085613,12653185,10521427
1979-02,16378929,16521089,15561238,14085613,12653185,10521427,8183421
1979-03,16521089,15561238,14085613,12653185,10521427,8183421,7219913
1979-04,15561238,14085613,12653185,10521427,8183421,7219913,9428492
1979-05,14085613,12653185,10521427,8183421,7219913,9428492,11185959
1979-06,12653185,10521427,8183421,7219913,9428492,11185959,13575098
1979-07,10521427,8183421,7219913,9428492,11185959,13575098,15053607
1979-08,8183421,7219913,9428492,11185959,13575098,15053607,16074814
1979-09,7219913,9428492,11185959,13575098,15053607,16074814,16207072
1979-10,9428492,11185959,13575098,15053607,16074814,16207072,15546525
1979-11,11185959,13575098,15053607,16074814,16207072,15546525,14080852
1979-12,13575098,15053607,16074814,16207072,15546525,14080852,12372595
1980-01,15053607,16074814,16207072,15546525,14080852,12372595,10433081
1980-02,16074814,16207072,15546525,14080852,12372595,10433081,8082016
1980-03,16207072,15546525,14080852,12372595,10433081,8082016,7856976
1980-04,15546525,14080852,12372595,10433081,8082016,7856976,9485305
1980-05,14080852,12372595,10433081,8082016,7856976,9485305,11721403
1980-06,12372595,10433081,8082016,7856976,9485305,11721403,13752372
1980-07,10433081,8082016,7856976,9485305,11721403,13752372,15109158
1980-08,8082016,7856976,9485305,11721403,13752372,15109158,15748975
1980-09,7856976,9485305,11721403,13752372,15109158,15748975,15703794
1980-10,9485305,11721403,13752372,15109158,15748975,15703794,15192945
1980-11,11721403,13752372,15109158,15748975,15703794,15192945,13921115
1980-12,13752372,15109158,15748975,15703794,15192945,13921115,12621552
1981-01,15109158,15748975,15703794,15192945,13921115,12621552,10667981
1981-02,15748975,15703794,15192945,13921115,12621552,10667981,7886965
1981-03,15703794,15192945,13921115,12621552,10667981,7886965,7250748
1981-04,15192945,13921115,12621552,10667981,7886965,7250748,9214381
1981-05,13921115,12621552,10667981,7886965,7250748,9214381,11206113
1981-06,12621552,10667981,7886965,7250748,9214381,11206113,13776309
1981-07,10667981,7886965,7250748,9214381,11206113,13776309,15340865
1981-08,7886965,7250748,9214381,11206113,13776309,15340865,16135234
1981-09,7250748,9214381,11206113,13776309,15340865,16135234,16227629
1981-10,9214381,11206113,13776309,15340865,16135234,16227629,15624536
1981-11,11206113,13776309,15340865,16135234,16227629,15624536,14180382
1981-12,13776309,15340865,16135234,16227629,15624536,14180382,12749741
1982-01,15340865,16135234,16227629,15624536,14180382,12749741,10805880
1982-02,16135234,16227629,15624536,14180382,12749741,10805880,8300662
1982-03,16227629,15624536,14180382,12749741,10805880,8300662,7454783
1982-04,15624536,14180382,12749741,10805880,8300662,7454783,10019317
1982-05,14180382,12749741,10805880,8300662,7454783,10019317,11959292
1982-06,12749741,10805880,8300662,7454783,10019317,11959292,13871330
1982-07,10805880,8300662,7454783,10019317,11959292,13871330,15159948
1982-08,8300662,7454783,10019317,11959292,13871330,15159948,16095113
1982-09,7454783,10019317,11959292,13871330,15159948,16095113,16185533
1982-10,10019317,11959292,13871330,15159948,16095113,16185533,15363742
1982-11,11959292,13871330,15159948,16095113,16185533,15363742,13566764
1982-12,13871330,15159948,16095113,16185533,15363742,13566764,12387795
1983-01,15159948,16095113,16185533,15363742,13566764,12387795,10945685
1983-02,16095113,16185533,15363742,13566764,12387795,10945685,8392355
1983-03,16185533,15363742,13566764,12387795,10945685,8392355,7540600
1983-04,15363742,13566764,12387795,10945685,8392355,7540600,9689444
1983-05,13566764,12387795,10945685,8392355,7540600,9689444,11677528
1983-06,12387795,10945685,8392355,7540600,9689444,11677528,13487417
1983-07,10945685,8392355,7540600,9689444,11677528,13487417,14691196
1983-08,8392355,7540600,9689444,11677528,13487417,14691196,15424012
1983-09,7540600,9689444,11677528,13487417,14691196,15424012,15716599
1983-10,9689444,11677528,13487417,14691196,15424012,15716599,15226124
1983-11,11677528,13487417,14691196,15424012,15716599,15226124,13700707
1983-12,13487417,14691196,15424012,15716599,15226124,13700707,12253081
1984-01,14691196,15424012,15716599,15226124,13700707,12253081,10217529
1984-02,15424012,15716599,15226124,13700707,12253081,10217529,7938903
1984-03,15716599,15226124,13700707,12253081,10217529,7938903,7111240
